Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C0394,P0001,Home,360.83,2023-01-21
C0278,P0002,Electronics,818.33,2023-01-21
C0325,P0003,Home,116.1,2023-01-21
C0318,P0004,Toys,744.29,2023-01-21
C0039,P0005,Fashion,385.65,2023-01-21
C0466,P0006,Toys,273.9,2023-01-21
C0306,P0007,Books,554.24,2023-01-21
C0248,P0008,Electronics,243.22,2023-01-21
C0285,P0009,Home,227.88,2023-01-21
C0135,P0010,Fashion,324.96,2023-01-21
C0139,P0011,Toys,216.59,2023-01-21
C0339,P0012,Home,141.85,2023-01-21
C0007,P0013,Electronics,153.31,2023-01-21
C0180,P0014,Electronics,94.2,2023-01-21
C0265,P0015,Home,354.36,2023-01-21
C0032,P0016,Fashion,486.9,2023-01-22
C0200,P0017,Home,297.0,2023-01-22
C0199,P0018,Electronics,906.82,2023-01-22
C0115,P0019,Books,494.61,2023-01-22
C0485,P0020,Books,348.67,2023-01-22
C0246,P0021,Books,465.73,2023-01-22
C0486,P0022,Books,110.44,2023-01-22
C0099,P0023,Sports,166.69,2023-01-22
C0408,P0024,Fashion,734.73,2023-01-22
C0075,P0025,Toys,693.26,2023-01-22
C0210,P0026,Fashion,168.45,2023-01-22
C0380,P0027,Books,539.41,2023-01-22
C0383,P0028,Sports,975.86,2023-01-22
C0279,P0029,Toys,422.05,2023-01-22
C0282,P0030,Fashion,454.5,2023-01-22
C0269,P0031,Fashion,531.95,2023-01-23
C0171,P0032,Toys,622.32,2023-01-23
C0256,P0033,Sports,699.83,2023-01-23
C0497,P0034,Toys,388.03,2023-01-23
C0376,P0035,Toys,58.21,2023-01-23
C0185,P0036,Books,410.03,2023-01-23
C0066,P0037,Home,811.14,2023-01-23
C0485,P0038,Home,34.2,2023-01-23
C0232,P0039,Electronics,567.79,2023-01-23
C0147,P0040,Toys,204.7,2023-01-23
C0382,P0041,Books,837.13,2023-01-23
C0274,P0042,Fashion,629.08,2023-01-23
C0207,P0043,Home,646.32,2023-01-23
C0157,P0044,Sports,475.4,2023-01-23
C0169,P0045,Toys,48.17,2023-01-23
C0073,P0046,Sports,672.16,2023-01-24
C0483,P0047,Electronics,948.01,2023-01-24
C0063,P0048,Fashion,767.06,2023-01-24
C0220,P0049,Electronics,26.7,2023-01-24
C0465,P0050,Fashion,822.47,2023-01-24
C0486,P0001,Home,496.21,2023-01-24
C0499,P0002,Fashion,716.29,2023-01-24
C0260,P0003,Electronics,49.0,2023-01-24
C0452,P0004,Electronics,535.36,2023-01-24
C0180,P0005,Fashion,574.62,2023-01-24
C0359,P0006,Toys,935.53,2023-01-24
C0451,P0007,Books,158.95,2023-01-24
C0337,P0008,Sports,409.72,2023-01-24
C0364,P0009,Electronics,944.18,2023-01-24
C0096,P0010,Electronics,353.22,2023-01-24
C0043,P0011,Home,940.62,2023-01-25
C0444,P0012,Toys,547.53,2023-01-25
C0260,P0013,Electronics,263.32,2023-01-25
C0249,P0014,Electronics,298.41,2023-01-25
C0213,P0015,Books,815.02,2023-01-25
C0114,P0016,Fashion,200.84,2023-01-25
C0467,P0017,Sports,602.82,2023-01-25
C0392,P0018,Home,433.63,2023-01-25
C0207,P0019,Home,516.47,2023-01-25
C0232,P0020,Sports,896.93,2023-01-25
C0013,P0021,Electronics,260.01,2023-01-25
C0015,P0022,Toys,149.57,2023-01-25
C0463,P0023,Fashion,483.1,2023-01-25
C0257,P0024,Toys,804.27,2023-01-25
C0146,P0025,Toys,594.26,2023-01-25
C0260,P0026,Books,268.8,2023-01-26
C0178,P0027,Fashion,308.98,2023-01-26
C0010,P0028,Toys,642.65,2023-01-26
C0241,P0029,Books,902.84,2023-01-26
C0392,P0030,Electronics,400.91,2023-01-26
C0372,P0031,Electronics,827.25,2023-01-26
C0195,P0032,Home,624.99,2023-01-26
C0109,P0033,Fashion,523.14,2023-01-26
C0254,P0034,Home,856.95,2023-01-26
C0354,P0035,Toys,616.76,2023-01-26
C0444,P0036,Electronics,202.24,2023-01-26
C0387,P0037,Home,861.99,2023-01-26
C0498,P0038,Electronics,429.24,2023-01-26
C0279,P0039,Fashion,666.49,2023-01-26
C0051,P0040,Fashion,228.25,2023-01-26
C0268,P0041,Electronics,392.03,2023-01-27
C0248,P0042,Home,750.51,2023-01-27
C0190,P0043,Sports,246.38,2023-01-27
C0333,P0044,Fashion,124.13,2023-01-27
C0319,P0045,Electronics,348.56,2023-01-27
C0350,P0046,Toys,895.96,2023-01-27
C0239,P0047,Electronics,882.88,2023-01-27
C0281,P0048,Sports,191.28,2023-01-27
C0476,P0049,Books,710.31,2023-01-27
C0299,P0050,Sports,54.81,2023-01-27
C0013,P0001,Home,735.91,2023-01-27
C0195,P0002,Fashion,686.82,2023-01-27
C0284,P0003,Home,50.4,2023-01-27
C0384,P0004,Toys,361.99,2023-01-27
C0134,P0005,Fashion,291.52,2023-01-27
C0217,P0006,Electronics,806.0,2023-01-28
C0408,P0007,Home,316.94,2023-01-28
C0242,P0008,Electronics,21.4,2023-01-28
C0249,P0009,Fashion,293.51,2023-01-28
C0052,P0010,Toys,788.59,2023-01-28
C0285,P0011,Electronics,246.9,2023-01-28
C0331,P0012,Sports,153.15,2023-01-28
C0010,P0013,Toys,311.31,2023-01-28
C0224,P0014,Fashion,86.63,2023-01-28
C0128,P0015,Home,795.97,2023-01-28
C0134,P0016,Books,456.91,2023-01-28
C0163,P0017,Books,904.36,2023-01-28
C0266,P0018,Electronics,495.63,2023-01-28
C0242,P0019,Home,220.71,2023-01-28
C0051,P0020,Toys,499.52,2023-01-28
C0148,P0021,Fashion,272.3,2023-01-29
C0019,P0022,Toys,509.69,2023-01-29
C0180,P0023,Sports,645.94,2023-01-29
C0127,P0024,Sports,965.35,2023-01-29
C0301,P0025,Toys,174.54,2023-01-29
C0465,P0026,Books,199.5,2023-01-29
C0234,P0027,Sports,126.02,2023-01-29
C0115,P0028,Toys,972.41,2023-01-29
C0445,P0029,Home,565.21,2023-01-29
C0314,P0030,Fashion,545.61,2023-01-29
C0430,P0031,Fashion,744.62,2023-01-29
C0364,P0032,Books,697.33,2023-01-29
C0033,P0033,Fashion,833.38,2023-01-29
C0343,P0034,Fashion,244.06,2023-01-29
C0179,P0035,Fashion,919.6,2023-01-29
